5790228	42	54
4714345	100	67
7877923	58	79
8204531	86	60
7492190	34	56
7992272	52	63
9892886	65	71
8857930	70	47
5324531	78	66
8718489	73	39
6689418	92	55
6272887	68	77
2859297	95	54
6647385	72	43
7145067	66	46
8603341	67	59
9865810	82	57
1057217	52	69
3234210	85	49
5847215	52	33
6995415	59	65
8340737	66	64
9520854	93	75
9353848	56	36
3535492	50	30
9134838	79	70
5922820	34	76
5677682	81	75
4477945	34	79
3259305	63	39
1816416	31	64
5767966	83	71
2830093	46	77
6615041	79	35
9351928	67	30
5643162	83	33
9950461	44	44
4935829	61	59
4612354	58	55
8638006	85	45
1636365	72	51
2344624	87	67
9001665	92	65
6621291	61	40
5954907	86	58
4632041	68	60
1393701	30	44
4113736	69	36
3610031	31	62
3357209	72	67
3293362	88	55
